No,Tanggal,Jenis Trans,IN/OUT,Product Code/Model,Jenis Barang,Nama Barang,Serial Number,Gudang/Rak,Jumlah,Keterangan,,,Jenis Trans,IN/OUT,ket,,,,,,,
600,14-Feb-25,KELUAR,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311A-20,2236350000899,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311A-20,,,,UPS,APC Smart UPS 1KVA 230V,Lantai,,1,,,1
601,14-Feb-25,KELUAR,OUT,TL-FC311B-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311B-20,222B3A1000283,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311B-20,,,,,APC Smart UPS 1KVA 230V Total,,,1,,,1
602,14-Feb-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,2,SR1649669 - Achmad Maulana (PLB),Printer InkEPSON Ink 003 Black,,,,,APC UPS,Rak A,,1,1,,2
603,14-Feb-25,KELUAR,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311A-20,222C900000858,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311A-20,,,,,APC UPS Total,,,1,1,,2
604,14-Feb-25,KELUAR,OUT,TL-FC311B-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311B-20,222C905000127,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311B-20,,,,,ICA UPS,Rak A,,3,2,,5
605,17-Feb-25,KELUAR,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090001762,Lemari Kaca,1,24.9A.D8.22.7C.0C,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,ICA UPS Total,,,3,2,,5
606,17-Feb-25,KELUAR,OUT,RPS0100,Power Supply,CORSAIR ATX Power Supply 450W,,Lemari Kaca,1,SR1650918,Power SupplyCORSAIR ATX Power Supply 450W,,,,UPS Total,,,,5,3,,8
607,18-Feb-25,KELUAR,OUT,64X66AA,Monitor,Monitor HP P24 G5 FHD,CNC4032VQ6,Rak C,1,SR1649674 - Achmad Maulana (PLB),MonitorMonitor HP P24 G5 FHD,,,,USB Adapter,TP-LINK 150Mbps Wireless N Nano USB Adapter,Lemari,,2,1,,3
608,18-Feb-25,KELUAR,OUT,,Stop Kontak,BROCO Kepala Stop Kontak (Steker),,Rak A,2,,Stop KontakBROCO Kepala Stop Kontak (Steker),,,,,TP-LINK 150Mbps Wireless N Nano USB Adapter Total,,,2,1,,3
609,19-Feb-25,KELUAR,OUT,PoE15F,PoE Injector,TENDA PoE Injector,E5142012436000933,Rak A,1,,PoE InjectorTENDA PoE Injector,,,,USB Adapter Total,,,,2,1,,3
610,20-Feb-25,KELUAR,OUT,M-U0026,Mouse,LOGITECH Mouse,2213HS0BWCF8,Lemari Kaca,1,,MouseLogitech Mouse,,,,VGA Extender,VGA Signal Extender 60M,Lemari Kaca,,1,,,1
611,20-Feb-25,KELUAR,OUT,,HDMI Switcher,VENTION HDMI BI-DIRECTION Switcher,,Lemari Kaca,1,,HDMI SwitcherVENTION HDMI BI-DIRECTION Switcher,,,,,VGA Signal Extender 60M Total,,,1,,,1
612,24-Feb-25,KELUAR,OUT,,Kabel,Kabel HDMI,,Lemari Kaca,1,,KabelKabel HDMI,,,,VGA Extender Total,,,,1,,,1
613,19-Feb-25,KELUAR,OUT,M-U0026,Mouse,LOGITECH Mouse,2213HS0BWCJ8,Lemari Kaca,1,SR1652372 - Syarifah Chairunnisaa (PPIC),MouseLogitech Mouse,,,,Video Conference,CISCO Table Microphone,Lemari,,2,,,2
614,18-Feb-25,KELUAR,OUT,M-U0026,Mouse,LOGITECH Mouse,2413AP025DS8,Lemari Kaca,1,SR1651928 - Bisma Putra Mailana (HR),MouseLogitech Mouse,,,,,CISCO Table Microphone Total,,,2,,,2
615,24-Feb-25,MASUK,IN,M-U0026,Mouse,LOGITECH Mouse,2213HS0BWCF8,Lemari Kaca,1,Cancel,MouseLogitech Mouse,,,,,CISCO Telepresence Table Microphone 20,Lemari,,2,,,2
616,25-Feb-25,KELUAR,OUT,,Kabel,Kabel DP,,Lemari Kaca,2,,KabelKabel DP,,,,,CISCO Telepresence Table Microphone 20 Total,,,2,,,2
617,25-Feb-25,MASUK,IN,RPS0100,Power Supply,CORSAIR ATX Power Supply 450W,,Lemari Kaca,1,diganti dengan inforce PSU 500w,Power SupplyCORSAIR ATX Power Supply 450W,,,,,CLEAR ONE Group Speaker,Rak A,,1,,,1
618,26-Feb-25,MASUK,IN,6-2111979-3,RJ45,RJ45 COMMSCOPE,,Lemari,1,"Cat6. LTO2468, PO: 4500394225",RJ45RJ45 COMMSCOPE,,,,,CLEAR ONE Group Speaker Total,,,1,,,1
619,26-Feb-25,MASUK,IN,TL-SF1008D(UN) Ver:12.0,Switch,TP-LINK 8 Port 10/100Mbps Desktop Switch,22392T5011026,Lemari Kaca,1,"LTO2468, PO: 4500394224",SwitchTP-LINK 8 Port 10/100Mbps Desktop Switch,,,,,LOGITECH Connect,Lemari,,1,,,1
620,26-Feb-25,MASUK,IN,TL-SF1008D(UN) Ver:12.0,Switch,TP-LINK 8 Port 10/100Mbps Desktop Switch,22453L0011867,Lemari Kaca,1,"LTO2468, PO: 4500394224",SwitchTP-LINK 8 Port 10/100Mbps Desktop Switch,,,,,,Rak D,,1,1,,2
621,26-Feb-25,MASUK,IN,NVL-DPSM1-SC-SC-003,Patch Cord,Patch Cord SC-SC 3M,,Lemari Kaca,2,NETVIEL Patch Cord Duplex SC-SC Singlemode. LTO2456,Patch CordPatch Cord SC-SC 3M,,,,,LOGITECH Connect Total,,,2,1,,3
622,26-Feb-25,KELUAR,OUT,C7977A RW,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,,Lemari,3,Full Monthly Feb'25,Backup TapeHPE LTO-7 Ultrium RW Data Cartridge 15TB,,,,,LOGITECH Expansion Microphone,Lemari,,5,2,,7
623,26-Feb-25,MASUK,IN,NVL-DPSM1-SC-SC-003,Patch Cord,Patch Cord SC-SC 3M,,Rak A,8,NETVIEL Patch Cord Duplex SC-SC Singlemode. LTO2456,Patch CordPatch Cord SC-SC 3M,,,,,LOGITECH Expansion Microphone Total,,,5,2,,7
624,26-Feb-25,MASUK,IN,64X66AA,Monitor,Monitor HP P24 G5 FHD,CNC4280R88,Rak C,1,LTO2456,MonitorMonitor HP P24 G5 FHD,,,,,LOGITECH Group,Rak D,,1,1,,2
625,26-Feb-25,MASUK,IN,64X66AA,Monitor,Monitor HP P24 G5 FHD,CNC4280RH4,Rak C,1,LTO2456,MonitorMonitor HP P24 G5 FHD,,,,,LOGITECH Group Total,,,1,1,,2
626,26-Feb-25,MASUK,IN,910-006521,Laser Presentation,LOGITECH R500s Laser Presentation Remote,2315SCQ04SF9,Lemari,1,LTO2456,Laser PresentationLOGITECH R500s Laser Presentation Remote,,,,Video Conference Total,,,,13,4,,17
627,26-Feb-25,MASUK,IN,910-006521,Laser Presentation,LOGITECH R500s Laser Presentation Remote,2440SC80T2A9,Lemari,1,LTO2456,Laser PresentationLOGITECH R500s Laser Presentation Remote,,,,Grand Total,,,0,3393,1009,0,4402
628,26-Feb-25,MASUK,IN,910-006521,Laser Presentation,LOGITECH R500s Laser Presentation Remote,2440SC90T6T9,Lemari,1,LTO2456,Laser PresentationLOGITECH R500s Laser Presentation Remote,,,,,,,,,,,
629,26-Feb-25,KELUAR,OUT,910-006521,Laser Presentation,LOGITECH R500s Laser Presentation Remote,2315SCQ04SF9,Lemari,1,,Laser PresentationLOGITECH R500s Laser Presentation Remote,,,,,,,,,,,
630,26-Feb-25,MASUK,IN,C7977A RW,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,,Lemari,50,LTO2456,Backup TapeHPE LTO-7 Ultrium RW Data Cartridge 15TB,,,,,,,,,,,
631,26-Feb-25,KELUAR,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311A-20,222C900001303,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311A-20,,,,,,,,,,,
632,26-Feb-25,KELUAR,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311B-20,222C905000923,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311B-20,,,,,,,,,,,
633,26-Feb-25,ADJ -,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311A-20,222C900001353,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311A-20,,,,,,,,,,,
634,26-Feb-25,ADJ -,OUT,TL-FC311A-20(UN),Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311B-20,222C905000122,Rak A,1,,Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311B-20,,,,,,,,,,,
635,26-Feb-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Magenta,,Rak F,1,SR1656788 - Putri Purnama Sapey (WB),Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
636,26-Feb-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,SR1656788 - Putri Purnama Sapey (WB),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
637,26-Feb-25,MUT K,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
638,26-Feb-25,MUT M,IN,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
639,27-Feb-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Magenta,,Lemari Kaca,1,SR1657374 - Dwi Alfi Rohmatin (Store),Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
640,27-Feb-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Yellow,,Lemari Kaca,1,SR1657374 - Dwi Alfi Rohmatin (Store),Printer InkEPSON Ink 003 Yellow,,,,,,,,,,,
641,27-Feb-25,KELUAR,OUT,KU-1469,Keyboard,HP Keyboard,BEXHP0B*,Lemari,1,SR1657408 - Gary Anderson Gunawan (Biodiesel),KeyboardHP Keyboard,,,,,,,,,,,
642,27-Feb-25,MASUK,IN,HSA-D005M,Mouse,HP Mouse,9CT345054F,Lemari Kaca,1,,MouseHP Mouse,,,,,,,,,,,
643,27-Feb-25,MASUK,IN,TPA-D002K,Keyboard,HP Keyboard,9CT34409WO,Lemari,1,,KeyboardHP Keyboard,,,,,,,,,,,
644,28-Feb-25,KELUAR,OUT,PoE15F,PoE Injector,TENDA PoE Injector,E5142012436000950,Rak A,1,,PoE InjectorTENDA PoE Injector,,,,,,,,,,,
645,28-Feb-25,KELUAR,OUT,PoE15F,PoE Injector,TENDA PoE Injector,E5142012436000972,Rak A,1,,PoE InjectorTENDA PoE Injector,,,,,,,,,,,
646,28-Feb-25,KELUAR,OUT,PoE15F,PoE Injector,TENDA PoE Injector,E5142012436000969,Rak A,1,,PoE InjectorTENDA PoE Injector,,,,,,,,,,,
647,28-Feb-25,KELUAR,OUT,H839C,Proyektor,EPSON Proyektor EB-X400,X4GU9Z02422,Rak C,1,mau di service,ProyektorEPSON Proyektor EB-X400,,,,,,,,,,,
648,28-Feb-25,MUT K,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
649,28-Feb-25,MUT M,IN,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
650,28-Feb-25,MUT K,OUT,,Printer Ink,EPSON Ink 003 Magenta,,Rak F,1,,Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
651,28-Feb-25,MUT M,IN,,Printer Ink,EPSON Ink 003 Magenta,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
652,28-Feb-25,MUT K,OUT,,Printer Ink,EPSON Ink 003 Yellow,,Rak F,1,,Printer InkEPSON Ink 003 Yellow,,,,,,,,,,,
653,28-Feb-25,MUT M,IN,,Printer Ink,EPSON Ink 003 Yellow,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Yellow,,,,,,,,,,,
654,28-Feb-25,MASUK,IN,NVL-DPSM1-LC-LC-002,Patch Cord,Patch Cord LC-LC 2M,,Lemari Kaca,2,NETVIEL Patch Cord Duplex LC-LC Single Mode 2m,Patch CordPatch Cord LC-LC 2M,,,,,,,,,,,
655,28-Feb-25,MASUK,IN,UE300,Network Adapter,TP-LINK USB 3.0 To Gigabit Ethernet Network Adapter,22294Q0002040,Lemari Kaca,1,,Network AdapterTP-LINK USB 3.0 To Gigabit Ethernet Network Adapter,,,,,,,,,,,
656,28-Feb-25,KELUAR,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090001709,Rak D,1,,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
657,28-Feb-25,KELUAR,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002413,Rak D,1,,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
658,28-Feb-25,MUT K,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002927,Rak D,1,,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
659,28-Feb-25,MUT M,IN,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002927,Lemari Kaca,1,,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
660,1-Mar-25,KELUAR,OUT,M-U0026,Mouse,LOGITECH Mouse,2213HS0BWCF8,Lemari Kaca,1,SR1659180 - Suwartono,MouseLogitech Mouse,,,,,,,,,,,
661,3-Mar-25,KELUAR,OUT,,Stationary,Sticky Note 51 X 38 mm,,Lemari,1,,StationarySticky Note 51 X 38 mm,,,,,,,,,,,
662,3-Mar-25,MASUK,IN,,Kabel,Kabel DP,,Lemari Kaca,1,,KabelKabel DP,,,,,,,,,,,
663,5-Mar-25,MUT K,OUT,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922826,Rak F,1,,Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
664,5-Mar-25,MUT M,IN,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922826,Lemari Kaca,1,,Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
665,5-Mar-25,MUT K,OUT,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922852,Rak F,1,,Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
666,5-Mar-25,MUT M,IN,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922852,Lemari Kaca,1,,Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
667,5-Mar-25,MASUK,IN,MR36-HW,Cloud managed Network,CISCO Meraki MR36,Q3AJ-EGA8-R4U5,Lemari,1,A8:46:9D:2D:0C:07,Cloud managed NetworkCISCO Meraki MR36,,,,,,,,,,,
668,5-Mar-25,MASUK,IN,MR36-HW,Cloud managed Network,CISCO Meraki MR36,Q3AJ-FH5D-SMFT,Lemari,1,A8:46:9D:2D:0B:04,Cloud managed NetworkCISCO Meraki MR36,,,,,,,,,,,
669,5-Mar-25,KELUAR,OUT,TP-22,Stationary,Facial Tissue,,Lemari,1,,StationaryFacial Tissue,,,,,,,,,,,
670,6-Mar-25,KELUAR,OUT,TL-WN725N,USB Adapter,TP-LINK 150Mbps Wireless N Nano USB Adapter,22294C4004382,Lemari,1,SR1662327 - Dino Febrianto,USB AdapterTP-LINK 150Mbps Wireless N Nano USB Adapter,,,,,,,,,,,
671,7-Mar-25,MASUK,IN,KVR26N19S8/8,Memory,KINGSTON 8GB DDR4 PC 2666,,Lemari Kaca,5,"LTO2468, PO: 4500394224",MemoryKINGSTON 8GB DDR4 PC 2666,,,,,,,,,,,
672,8-Mar-25,MASUK,IN,,RJ45,RJ45 COMMSCOPE,,Lemari,4,,RJ45RJ45 COMMSCOPE,,,,,,,,,,,
673,8-Mar-25,KELUAR,OUT,,Stationary,Transparent Tape 2 in,,Lemari,1,,StationaryTransparent Tape 2 in,,,,,,,,,,,
674,11-Mar-25,KELUAR,OUT,CJ688TPBU,Jack Module,PANDUIT Mini-com tx6 Plus Jack Module,,Lemari,1,,Jack ModulePANDUIT Mini-com tx6 Plus Jack Module,,,,,,,,,,,
675,11-Mar-25,KELUAR,OUT,40234,HDMI Switcher,UGREEN 3 Port 3X1 HDMI Switch,,Lemari Kaca,1,,HDMI SwitcherUGREEN 3 Port 3X1 HDMI Switch,,,,,,,,,,,
676,11-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,SR1665961 - Rianda Dwita Sari Wardhani (WS),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
677,17-Mar-25,KELUAR,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002927,Lemari Kaca,1,SR1669668 - Oktaviana (Jetty1),IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
678,17-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 664 Black,,Rak F,1,SR1669807 - Ratna (Store Project),Printer InkEPSON Ink 664 Black,,,,,,,,,,,
679,18-Mar-25,MASUK,IN,TL-WN725N,USB Adapter,TP-LINK 150Mbps Wireless N Nano USB Adapter,22294C4004382,Lemari,1,Kembali - selesai dipinjam (SR1662327),USB AdapterTP-LINK 150Mbps Wireless N Nano USB Adapter,,,,,,,,,,,
680,18-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,SR1670791 - Pani Prima Tambunan (OLEO Tank farm),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
681,18-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Cyan,,Lemari Kaca,1,SR1670791 - Pani Prima Tambunan (OLEO Tank farm),Printer InkEPSON Ink 003 Cyan,,,,,,,,,,,
682,18-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Magenta,,Lemari Kaca,1,SR1670791 - Pani Prima Tambunan (OLEO Tank farm),Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
683,18-Mar-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Yellow,,Lemari Kaca,1,SR1670791 - Pani Prima Tambunan (OLEO Tank farm),Printer InkEPSON Ink 003 Yellow,,,,,,,,,,,
684,18-Mar-25,KELUAR,OUT,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292RS1,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
685,18-Mar-25,KELUAR,OUT,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292PZV,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
686,18-Mar-25,MASUK,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,FOC2642946Y,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
687,18-Mar-25,MASUK,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,FOC264293M9,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
688,18-Mar-25,MASUK,IN,C9200L-48P-4X-A,Switch,CISCO Catalyst 9200 Series Switches,FOC26302SYF,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
689,18-Mar-25,MASUK,IN,C9200L-48P-4X-A,Switch,CISCO Catalyst 9200 Series Switches,FOC26302S7D,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,,,,,,
690,19-Mar-25,MASUK,IN,STKM5000400,HDD External,HDD External SEAGATE Expansion portable hard drive 5 TB,NACRH892,Lemari,1,,HDD ExternalHDD External SEAGATE Expansion portable hard drive 5 TB,,,,,,,,,,,
691,24-Mar-25,KELUAR,OUT,KVR26N19S8/8,Memory,KINGSTON 8GB DDR4 PC 2666,,Lemari Kaca,1,,MemoryKINGSTON 8GB DDR4 PC 2666,,,,,,,,,,,
692,26-Mar-25,KELUAR,OUT,C7977A RW,Backup Tape,HPE LTO-7 Ultrium RW Data Cartridge 15TB,,Lemari,3,Backup tape full monthly Mar'25,Backup TapeHPE LTO-7 Ultrium RW Data Cartridge 15TB,,,,,,,,,,,
693,26-Mar-25,KELUAR,OUT,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922826,Lemari Kaca,1,SR1675681 - Putri Purnama Sapey (WB),Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
694,26-Mar-25,KELUAR,OUT,S015639/S015634,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,232922852,Lemari Kaca,1,SR1675681 - Putri Purnama Sapey (WB),Ribbon CartridgeEPSON Ribbon Cartridge LQ310,,,,,,,,,,,
695,27-Mar-25,ADJ -,OUT,SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,201043E090002367,Lemari Kaca,1,kayaknya lupa catat,IP-PhoneYEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,
696,2-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,SR1676906 - Survina Osalia Br Ginting (Utility - Desalination),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
697,2-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Cyan,,Rak F,2,pecah tutupnya,Printer InkEPSON Ink 003 Cyan,,,,,,,,,,,
698,2-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Magenta,,Rak F,3,pecah tutupnya,Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
699,2-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,SR1677345 - Reski Fadillah (KCP),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
700,2-Apr-25,MUT K,OUT,,Printer Ink,EPSON Ink 003 Black,,Rak F,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
701,2-Apr-25,MUT M,IN,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
702,2-Apr-25,MUT K,OUT,,Printer Ink,EPSON Ink 664 Black,,Rak F,1,,Printer InkEPSON Ink 664 Black,,,,,,,,,,,
703,2-Apr-25,MUT M,IN,,Printer Ink,EPSON Ink 664 Black,,Lemari Kaca,1,,Printer InkEPSON Ink 664 Black,,,,,,,,,,,
704,4-Apr-25,MASUK,IN,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,4,Ervin beli di flashsale,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
705,4-Apr-25,MASUK,IN,,Printer Ink,EPSON Ink 003 Cyan,,Lemari Kaca,1,Ervin beli di flashsale,Printer InkEPSON Ink 003 Cyan,,,,,,,,,,,
706,4-Apr-25,MASUK,IN,,Printer Ink,EPSON Ink 003 Magenta,,Lemari Kaca,1,Ervin beli di flashsale,Printer InkEPSON Ink 003 Magenta,,,,,,,,,,,
707,4-Apr-25,MASUK,IN,,Printer Ink,EPSON Ink 003 Yellow,,Lemari Kaca,1,Ervin beli di flashsale,Printer InkEPSON Ink 003 Yellow,,,,,,,,,,,
708,7-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,SR1681340 - Verdha Ristanti (EXIM),Printer InkEPSON Ink 003 Black,,,,,,,,,,,
709,7-Apr-25,ADJ -,OUT,,Keyboard Mouse,LOGITECH Silent Wireless Combo,,Lemari,1,,Keyboard MouseLOGITECH Silent Wireless Combo,,,,,,,,,,,
710,7-Apr-25,ADJ -,OUT,,Stationary,ALKALINE Battery AAA,,Lemari,2,,StationaryALKALINE Battery AAA,,,,,,,,,,,
711,7-Apr-25,ADJ -,OUT,TP-22,Stationary,Facial Tissue,,Lemari,1,,StationaryFacial Tissue,,,,,,,,,,,
712,7-Apr-25,ADJ -,OUT,,Stationary,GP Battery A23,,Lemari,1,,StationaryGP Battery A23,,,,,,,,,,,
713,8-Apr-25,MASUK,IN,,HDD Server,HDD Server (Bekas/Rusak),,Lemari,1,,HDD ServerHDD Server (Bekas/Rusak),,,,,,,,,,,
714,8-Apr-25,KELUAR,OUT,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Black,,,,,,,,,,,
715,8-Apr-25,KELUAR,OUT,DS-3E1510P-EI/M,PoE Switch,HIKVISION 8 Port Gigabit Smart POE Switch,FH6471449,Rak A,1,,PoE SwitchHIKVISION 8 Port Gigabit Smart POE Switch,,,,,,,,,,,
716,8-Apr-25,KELUAR,OUT,BVX700LUI-MS,UPS,APC UPS,9B224411046,Rak A,1,,UPSAPC UPS,,,,,,,,,,,
717,8-Apr-25,KELUAR,OUT,CJ688TPBU,Jack Module,PANDUIT Mini-com tx6 Plus Jack Module,,Lemari,1,,Jack ModulePANDUIT Mini-com tx6 Plus Jack Module,,,,,,,,,,,
718,9-Apr-25,KELUAR,OUT,CF400A,Printer Cartridge,HP Toner Cartridge 201A Black,,Lemari Kaca,1,SR1683080 - Varenza Numithanodya (OLEO),Printer CartridgeHP Toner Cartridge 201A Black,,,,,,,,,,,
719,9-Apr-25,KELUAR,OUT,CF402A,Printer Cartridge,HP Toner Cartridge 201A Yellow,,Lemari Kaca,1,SR1683080 - Varenza Numithanodya (OLEO),Printer CartridgeHP Toner Cartridge 201A Yellow,,,,,,,,,,,
720,10-Apr-25,KELUAR,OUT,MC112CS(UN),Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC112CS,218A011000120,Rak A,1,,Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC112CS,,,,,,,,,,,
721,10-Apr-25,KELUAR,OUT,MC111CS(UN),Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC111CS,2194188001870,Rak A,1,,Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC111CS,,,,,,,,,,,
722,10-Apr-25,KELUAR,OUT,MC111CS(UN),Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC111CS,2194188001888,Rak A,1,,Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC111CS,,,,,,,,,,,
723,10-Apr-25,KELUAR,OUT,MC112CS(UN),Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC112CS,219A050000468,Rak A,1,,Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC112CS,,,,,,,,,,,
724,10-Apr-25,KELUAR,OUT,MC112CS(UN),Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC112CS,2194766001372,Rak A,1,,Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC112CS,,,,,,,,,,,
725,10-Apr-25,ADJ -,OUT,DS-2CD2955G0-ISU,Network Camera,HIKVISION 5MP Fixed Fisheye Network Camera,FM3151961,Rak A,1,,Network CameraHIKVISION 5MP Fixed Fisheye Network Camera,,,,,,,,,,,
726,10-Apr-25,ADJ -,OUT,DS-2CD2955G0-ISU,Network Camera,HIKVISION 5MP Fixed Fisheye Network Camera,FM3152017,Rak A,1,,Network CameraHIKVISION 5MP Fixed Fisheye Network Camera,,,,,,,,,,,
